,year,description,period,dynasty_id
283,1970,By the 1970s Japan ascended to great power status again. Japan had record high economic growth during the Japanese economic miracle.,20th century,0
284,1971,Zengakuren demonstrate and riot in Tokyo against terms for the return of Okinawa from US to Japanese control. They wanted to remove all American military presence.,20th century,0
285,1971,The 1971 Okinawa Reversion Agreement is ratified and returned the Okinawa Prefecture to Japanese sovereignty.,20th century,0
286,1974,Prime Minister Eisaku Satō accepted the Nobel Peace Prize.,20th century,0
287,1980,"Japan became the biggest motor vehicle producing country in the world with 11,042,884 motor vehicles compared to the USA's 8,009,841.",20th century,0
288,1983,"The domestic North American video game market crashes, allowing the Japanese industry to take America's place as the world's largest video game market.",20th century,0
289,1985,"Japan Airlines Flight 123 crashes near Mount Takamagahara, killing 520 people in Japan's worst ever air disaster.",20th century,0
290,1989,"Emperor Hirohito died at the age of 87. His posthumous name is Emperor Shōwa. He was both the longest-lived and longest-reigning historical Japanese emperor, as well as the longest-reigning monarch in the world at that time.",20th century,0
291,1989,Prince Akihito succeeded to the Chrysanthemum Throne upon the death of his father Emperor Shōwa. He thereby became the Emperor of Japan. This marked the start of the Heisei period.,20th century,0
292,1989,"Lost Decade: The Tokyo Stock Market index, Nikkei 225, hits its peak at 38,957 before closing at 38,916 for the day.",20th century,0
293,1991,"The Japanese asset price bubble popped, ending the Japanese economic miracle and triggering a prolonged period of economic decline known as the ""Lost Decades"".",20th century,0
294,1993,"In the wake of the economic crisis, the ruling Liberal Democratic Party is defeated in general elections for the first time since 1955, and a coalition of opposition parties headed by Morihiro Hosokawa takes power.",20th century,0
295,1995,Great Hanshin earthquake,20th century,0
296,1995,"Tokyo subway sarin attack: Members of the Aum Shinrikyo religious sect release sarin gas on the Tokyo subway system, killing 13 and injuring over 1000.",20th century,0
297,1997,The Kyoto Protocol to regulate greenhouse gases emissions was adopted.,20th century,0
298,2005,"The Japan Aerospace Exploration Agency (JAXA)'s robotic spacecraft Hayabusa landed on an asteroid and collected samples in the form of tiny grains of asteroidal material, which were returned to Earth aboard the spacecraft on 13 June 2010. It was the first spacecraft in history designed to deliberately land on an asteroid and then take off again. The Hayabusa mission was the first to return an asteroid sample to Earth for analysis.",21st century,0
299,2011,"The Tokyo Skytree 634.0 metres (2,080 ft) became the tallest tower in the world.",21st century,0
300,2011,"2011 Tōhoku earthquake and tsunami, followed by the Fukushima Daiichi nuclear disaster",21st century,0
301,2011,The Japan Self-Defense Force Base Djibouti was established.,21st century,0
302,2012,Abenomics policies are enacted to handle the consequences of the Lost Decade and the Japan demographic crisis.,21st century,0
303,2018,"Japan activated the Amphibious Rapid Deployment Brigade, its first marine unit since World War II. They're trained to counter invaders from occupying Japanese islands.",21st century,0
304,2018,The Toyosu Market opened as the largest wholesale fish market in the world.[5] It replaced the old Tsukiji fish market.,21st century,0
305,2018,"The tourist boom in Japan reach unprecedented scale, with a number of yearly visitors counting in millions - 19.73 in 2015, 23.97 in 2016, 28.6 in 2017, and 31.19 million foreign visitors in 2018.[6][7]",21st century,0
306,2019,Emperor Akihito abdicated being the first Japanese emperor to do so since 1817. Prince Naruhito succeeded as the Emperor of Japan. This marked the start of the Reiwa period.,21st century,0
307,2020,The COVID-19 pandemic in Japan begins and the Olympics games are postponed.,21st century,0
308,2021,2020 Summer Olympics are held in Japan.,21st century,0
309,2022,Former Prime Minister Shinzo Abe is assassinated by a gunman in Nara.,21st century,0
