,year,description,period,current_country,country
830,1103,Song occupation of Tsongkha: Song dynasty invades Tsongkha and Western Xia,12nd century,China,Sui
831,1103,Public pharmacies are extended from Kaifeng to the circuits,12nd century,China,Sui
832,1103,Earliest recorded references to foot binding[101][102],12nd century,China,Sui
833,1104,Song occupation of Tsongkha: Song annexes Tsongkha,12nd century,China,Sui
834,1104,Song court mandates public cemeteries for the destitute,12nd century,China,Sui
835,1104,"The Taixue allows enrollment from poor families for an admission fee of 2,000 cash, roughly 4 months of income for a low wage farmer, or 15 percent of monthly salary for a low official",12nd century,China,Sui
836,1105,Reports of embezzlement relating to the public welfare initiatives start rolling in,12nd century,China,Sui
837,1106,Song occupation of Tsongkha: Song dynasty and Western Xia end hostilities and the war ends inconclusively,12nd century,China,Sui
838,1106,Graduates of the prefectural examinations are reduced to 3% of candidates,12nd century,China,Sui
839,1107,Song dynasty starts issuing a new note called a 'money voucher' (qianyin),12nd century,China,Sui
840,1107,Song dynasty mandates the superiority of the Taoist clergy in rank and honors to their Buddhist counterparts,12nd century,China,Sui
841,1108,Song dynasty sets an annual recruitment quota of 70 Taoist priests for the imperial examinations,12nd century,China,Sui
842,1110,"The Song army puts on a firework display for the emperor including a spectacle which opened with ""a noise like thunder"" and explosives that light up the night. Considered by some to be the first mention of gunpowder fireworks.",12nd century,China,Sui
843,1111,Earliest recorded use of the compass for maritime navigation,12nd century,China,Sui
844,1113,Song-Xia War (1113–1119): Song dynasty invades Western Xia,12nd century,China,Sui
845,1114,"The Palace of Extended Blessings (Yanfu Gong), a park-like compound extending the palace precincts to the north, is constructed",12nd century,China,Sui
846,1115,Wanyan Aguda declares himself Emperor Taizu of Jin,12nd century,China,Sui
847,1119,Song-Xia War (1113–1119): The war between Song dynasty and Western Xia ends inconclusively,12nd century,China,Sui
848,1119,Song Jiang rebels in Jingdong Circuit,12nd century,China,Sui
849,1120,Fang La rebels in Liangzhe Circuit and is suppressed,12nd century,China,Sui
850,1120,Song court announces cutbacks to public welfare,12nd century,China,Sui
851,1121,Song Jiang's rebellion in Jingdong Circuit is suppressed,12nd century,China,Sui
852,1123,Song dynasty attacks the Liao dynasty but is repelled,12nd century,China,Sui
853,1123,Zhang Jue rebels in Ping Prefecture and defects to the Song dynasty but the Jin dynasty immediately retaliates and crushes his army; Zhang Jue is executed by the Song as reconciliation towards the Jin,12nd century,China,Sui
854,1125,Emperor Tianzuo of Liao is captured by the Jin dynasty; so ends the Liao dynasty,12nd century,China,Sui
855,1125,Jin dynasty invades the Song dynasty and occupies Shanxi and Hebei,12nd century,China,Sui
856,1126,"Emperor Huizong of Song abdicates to his son Zhao Huan, who succeeds him as Emperor Qinzong of Song",12nd century,China,Sui
857,1126,Jingkang Incident: Thunderclap bomb as well as fire arrows and fire bombs are used by Song troops during the siege of Kaifeng by the Jin dynasty (1115–1234).,12nd century,China,Sui
858,1126,Jin army retreats from Kaifeng after the Song dynasty promises to pay an annual indemnity,12nd century,China,Sui
859,1126,Jin dynasty defeats two Song armies,12nd century,China,Sui
860,1126,Jin army returns with fire arrows and gunpowder bombs and lays siege to Kaifeng[122],12nd century,China,Sui
861,1127,Emperor Qinzong of Song's brother Zhao Gou is declared Emperor Gaozong of Song and the capital is moved to Lin'an,12nd century,China,Sui
862,1127,"Jingkang Incident: Kaifeng falls to the Jin dynasty and emperors Qinzong and Huizong are captured; territory north of the Huai River is annexed by the Jin - earliest recorded use of ""molten metal bombs"", suspected to contain gunpowder[122]",12nd century,China,Sui
863,1128,"The earliest extant depiction of a cannon appears among the Dazu Rock Carvings, one of which is a human figure holding a gourd shaped hand cannon.",12nd century,China,Sui
864,1129,Former Song official Liu Yu is enthroned as emperor of the Jin puppet state of Qi,12nd century,China,Sui
865,1129,Gunpowder weapons are applied to naval warfare as Song warships are outfitted with trebuchets and supplies of gunpowder bombs.,12nd century,China,Sui
866,1130,Battle of Huangtiandang: Jin forces are ambushed and stopped at the Yangtze for some time before making the crossing,12nd century,China,Sui
867,1130,Zhong Xiang rebels in Hunan,12nd century,China,Sui
868,1131,"Jin dynasty invades Shaanxi but is repelled, in particular by a volley fire tactic implemented by general Wu Jie (吳 玠) and his younger brother Wu Lin (吳璘)",12nd century,China,Sui
869,1131,Li Cheng rebels in Huainan and is suppressed,12nd century,China,Sui
870,1131,The Song dynasty establishes China's first standing navy,12nd century,China,Sui
871,1132,Siege of De'an: Fire lances are used by Song troops to repel Jin invaders[134][135],12nd century,China,Sui
872,1132,"Gunpowder is referred to specifically for its military applications for the first time and is known as ""fire bomb medicine"" rather than ""fire medicine"".",12nd century,China,Sui
873,1132,Firecrackers using gunpowder are mentioned for the first time.,12nd century,China,Sui
874,1133,Jin puppet state Qi invades Song dynasty but is repelled by Yue Fei,12nd century,China,Sui
875,1133,Ayong of the Mu'ege Kingdom leads a large trade delegation of several thousand to the Song city of Luzhou in Sichuan,12nd century,China,Sui
876,1135,Emperor Huizong of Song dies,12nd century,China,Sui
877,1135,Jin puppet state Qi captures Xiangyang,12nd century,China,Sui
878,1135,Yue Fei of the Song dynasty retaliates and recaptures much of the lost territory,12nd century,China,Sui
879,1135,The rebellion in Hunan is suppressed,12nd century,China,Sui
880,1136,Jin puppet state Qi invades the Song dynasty but is repelled,12nd century,China,Sui
881,1140,Jin dynasty invades Song dynasty,12nd century,China,Sui
882,1140,"Battle of Yancheng: Yue Fei launches a successful attack against the Jin and makes considerable territorial gains, but is forced to withdraw by Emperor Gaozong of Song",12nd century,China,Sui
883,1141,Yue Fei is arrested,12nd century,China,Sui
884,1142,Yue Fei is executed,12nd century,China,Sui
885,1142,Song and Jin agree to the Treaty of Shaoxing which stipulates that the Song must pay Jin an annual indemnity; the Huai River is settled as the boundary between the two states[141],12nd century,China,Sui
886,1143,"Buddhist monks in the Song dynasty surge to 200,000 and become the largest class of land owners",12nd century,China,Sui
887,1145,"The Dongguan Bridge is constructed in Yongchun County, Fujian Province",12nd century,China,Sui
888,1150,"Annual registration for prefectural examinations reaches 100,000 applicants",12nd century,China,Sui
889,1151,The Anping Bridge is completed,12nd century,China,Sui
890,1160,"Song dynasty starts issuing huizi, their official paper currency",12nd century,China,Sui
891,1161,Emperor Qinzong of Song dies,12nd century,China,Sui
892,1161,Jin dynasty invades Song dynasty,12nd century,China,Sui
893,1161,Battle of Tangdao: Fire arrows are employed by a Song fleet in sinking a Jin fleet off the shore of Shandong peninsula.,12nd century,China,Sui
894,1161,Battle of Caishi: Thunderclap bombs are employed by Song treadmill boats in sinking a Jin fleet on the Yangtze.,12nd century,China,Sui
895,1162,Emperor Gaozong of Song abdicates to his adopted son Zhao Bocong who becomes Emperor Xiaozong of Song,12nd century,China,Sui
896,1162,Copper production in the Song dynasty suffers a complete breakdown and falls to 157 tons per year,12nd century,China,Sui
897,1163,Song dynasty invades Jin dynasty but is defeated,12nd century,China,Sui
898,1163,"Fire lances are attached to war carts, known as ""at-your-desire-war-carts"", for defending Song mobile trebuchets.",12nd century,China,Sui
899,1165,Song and Jin conclude a peace treaty reducing Song tribute and returning borders to the Huai River,12nd century,China,Sui
900,1167,Song dynasty releases 2 million taels to exchange for huizi and destroy them in order to correct overissue,12nd century,China,Sui
901,1170,The Song dynasty stations officers at the Penghu Islands,12nd century,China,Sui
902,1171,Chinese fishermen settle on the Penghu Islands,12nd century,China,Sui
903,1175,More huizi are issued to meet demand,12nd century,China,Sui
904,1181,Earliest extant printed maps with a date of publication are printed,12nd century,China,Sui
905,1187,Emperor Gaozong of Song dies,12nd century,China,Sui
906,1188,Emperor Xiaozong of Song creates a new office called the Policy Deliberation Hall (Yishi tang) to train his son Zhao Dun for his eventual accession,12nd century,China,Sui
907,1189,"Emperor Xiaozong of Song abdicates to his son Zhao Dun, who becomes Emperor Guangzong of Song",12nd century,China,Sui
908,1190,Casual references to foot binding become more common; foot binding is no longer associated with dancing nor is the practice confined to entertainers,12nd century,China,Sui
909,1191,Emperor Guangzong of Song withdraws from the court,12nd century,China,Sui
910,1194,Emperor Xiaozong of Song dies,12nd century,China,Sui
911,1194,Emperor Guangzong of Song is forced to abdicate and his son Zhao Kuo succeeds him as Emperor Ningzong of Song,12nd century,China,Sui
912,1195,Rebellion breaks out in Sichuan,12nd century,China,Sui
913,1195,Earliest known extant depiction of a fishing reel,12nd century,China,Sui
914,1198,Song court bans Neo-Confucianism,12nd century,China,Sui
915,1200,Emperor Guangzong of Song dies,13rd century,China,Sui
916,1202,Ban on Neo-Confucianism ends,13rd century,China,Sui
917,1204,Song forces start showing military aggression along the Jin border,13rd century,China,Sui
918,1206,"Kokochu, also known as Teb Tengri, chief shaman of the Mongols, bestows upon Temüjin the title of Genghis Khan, ""Oceanic Ruler"" of the Mongol Empire, at the kurultai of Burkhan Khaldun, sacred mountain of the Mongols",13rd century,China,Sui
919,1206,Song dynasty declares war on Jin dynasty,13rd century,China,Sui
920,1206,"The governor-general of Sichuan, Wu Xi, defects to the Jin dynasty",13rd century,China,Sui
921,1207,Song loyalists kill Wu Xi,13rd century,China,Sui
922,1207,"Thunderclap bombs are employed by Song forces in a sneak attack on a Jin camp, killing 2000 men and 800 horses.",13rd century,China,Sui
923,1207,Song and Jin enter a stalemate,13rd century,China,Sui
924,1208,Song and Jin agree to a peace renewing the Song's tributary relationship with the Jin,13rd century,China,Sui
925,1208,Yao people rebel in Jinghu and are suppressed,13rd century,China,Sui
926,1208,Rebellion breaks out in Sichuan,13rd century,China,Sui
927,1208,Massive fires erupt in Lin'an,13rd century,China,Sui
928,1208,Drought and locusts hits Zhejiang,13rd century,China,Sui
929,1209,Locusts plague Zhejiang,13rd century,China,Sui
930,1210,Rebellion breaks out in Jinghu and is suppressed,13rd century,China,Sui
931,1210,Earliest known depiction of a trip hammer,13rd century,China,Sui
932,1210,Floodwaters and locusts hit Zhejiang,13rd century,China,Sui
933,1211,Massive fires erupt in Lin'an,13rd century,China,Sui
934,1211,Rebellion breaks out in Sichuan,13rd century,China,Sui
935,1212,Floodwaters hit Zhejiang,13rd century,China,Sui
936,1213,Rebellion breaks out in Sichuan,13rd century,China,Sui
937,1213,Floodwaters hit Zhejiang,13rd century,China,Sui
938,1214,Jin dynasty raids Song dynasty,13rd century,China,Sui
939,1214,Drought hits Zhejiang,13rd century,China,Sui
940,1215,Drought and locusts hit Zhejiang,13rd century,China,Sui
941,1216,Earthquakes hit Sichuan,13rd century,China,Sui
942,1217,Jin dynasty invades Song dynasty but is repelled,13rd century,China,Sui
943,1217,Rebellion breaks out in Sichuan,13rd century,China,Sui
944,1217,Floodwaters hit Zhejiang,13rd century,China,Sui
945,1219,Jin dynasty invades Song dynasty but is repelled,13rd century,China,Sui
946,1219,Rebellion breaks out in Sichuan and is suppressed,13rd century,China,Sui
947,1220,Rebellion breaks out in Sichuan,13rd century,China,Sui
948,1220,Massive fires erupt in Lin'an,13rd century,China,Sui
949,1221,Jin dynasty invades Song dynasty but is repelled,13rd century,China,Sui
950,1221,Iron casing bombs are employed by Jin troops in the siege of Qi Prefecture (Hubei).,13rd century,China,Sui
951,1224,Emperor Ningzong of Song dies and his adopted son Zhao Yun succeeds him as Emperor Lizong of Song,13rd century,China,Sui
952,1224,Song and Jin cease hostilities,13rd century,China,Sui
953,1225,Rebels in Shandong invade the Song dynasty and are repelled,13rd century,China,Sui
954,1227,Emperor Mozhu of Western Xia surrenders to the Mongol Empire and is promptly executed; so ends the Western Xia,13rd century,China,Sui
955,1229,"New Vietnamese monarch, Trần Thái Tông of the Trần dynasty, sends a diplomatic mission to Song China",13rd century,China,Sui
956,1230,Co-viative projectiles are added to fire lances.,13rd century,China,Sui
957,1231,Song patrols kill a Mongol envoy and in retaliation the Mongols raid Sichuan,13rd century,China,Sui
958,1231,Massive fires erupt in Lin'an,13rd century,China,Sui
959,1233,Song dynasty invades Jin dynasty,13rd century,China,Sui
960,1234,"Siege of Caizhou: Emperor Aizong of Jin abdicates to a distant relative, Hudun, who becomes Emperor Mo of Jin, and commits suicide; Emperor Mo of Jin is killed by the Mongols; so ends the Jin dynasty",13rd century,China,Sui
961,1234,Mongols annihilate the Song army at Luoyang,13rd century,China,Sui
962,1235,Mongols raid the Song dynasty,13rd century,China,Sui
963,1235,Massive fires erupt in Lin'an,13rd century,China,Sui
964,1236,Mongols rout Song forces in Sichuan,13rd century,China,Sui
965,1237,"Large bombs requiring several hundred men to hurl using trebuchets are employed by Mongols in the siege of Anfeng (modern Shouxian, Anhui Province).",13rd century,China,Sui
966,1237,Massive fires erupt in Lin'an,13rd century,China,Sui
967,1238,Counterattacks by Song forces force Mongols to withdraw,13rd century,China,Sui
968,1240,Foot binding spreads to daughters and wives of officials,13rd century,China,Sui
969,1242,Mongols raid Sichuan,13rd century,China,Sui
970,1243,Mongols raid Sichuan,13rd century,China,Sui
971,1244,Mongols raid Huainan,13rd century,China,Sui
972,1245,Mongols occupy Shou Prefecture,13rd century,China,Sui
973,1245,Rockets are used during a military exercise conducted by the Song navy.,13rd century,China,Sui
974,1246,Mongols raid Huainan,13rd century,China,Sui
975,1247,"Issues of huizi to subsidize rising expenditures and declining revenues reach a value of 650,000,000 strings of cash, an increase by a factor of 25 over half a century[198]",13rd century,China,Sui
976,1247,Qin Jiushao discovers Horner's method and introduces the zero symbol into Chinese mathematics[200],13rd century,China,Sui
977,1250,"Annual registration for prefectural examinations reaches 400,000 candidates",13rd century,China,Sui
978,1252,Mongol forces under the Chinese general Wang Dechen advance into Sichuan and occupy Li Prefecture,13rd century,China,Sui
979,1252,Massive fires erupt in Lin'an,13rd century,China,Sui
980,1253,Mongol forces occupy Li Prefecture,13rd century,China,Sui
981,1254,Mongol raids on the northern Song border intensify,13rd century,China,Sui
982,1256,"Möngke Khan declares war on the Song dynasty, citing imprisonment of Mongol envoys as casus belli",13rd century,China,Sui
983,1256,The Bazi Bridge is completed in Shaoxing,13rd century,China,Sui
984,1257,"Three hundred thirty-three ""fire emitting tubes"" are produced in a Song arsenal in Jiankang Prefecture (Nanjing, Jiangsu).[206]",13rd century,China,Sui
985,1257,Massive fires erupt in Lin'an,13rd century,China,Sui
986,1258,Mongols capture Chengdu,13rd century,China,Sui
987,1259,Möngke Khan's forces take Ya Prefecture,13rd century,China,Sui
988,1259,Siege of Diaoyu Castle: Möngke Khan's forces lay siege to Diaoyu Fortress,13rd century,China,Sui
989,1259,Siege of Diaoyu Castle: Möngke Khan calls off the siege of Diaoyu Fortress,13rd century,China,Sui
990,1259,Taghachar attacks Huainan,13rd century,China,Sui
991,1259,"Möngke Khan dies from dysentery or a wound inflicted by a Song trebuchet, forcing Mongol forces to withdraw from Song territory",13rd century,China,Sui
992,1259,"Kublai Khan's forces cross the Yangtze and lays siege to Ezhou, however he receives news of Möngke Khan's death and Ariq Böke's mobilization, forcing hm to withdraw and deal with his brother",13rd century,China,Sui
993,1259,"The History of Song describes a ""fire-emitting lance"" employing a pellet wad projectile which occludes the barrel. Some consider this to be the first bullet.[206]",13rd century,China,Sui
994,1259,The city of Qingzhou produces one to two thousand iron cased bomb shells a month and sends them in deliveries of ten to twenty thousand at a time to Xiangyang and Yingzhou.,13rd century,China,Sui
995,1259,Floodwaters hit Zhejiang,13rd century,China,Sui
996,1260,"Kublai Khan convenes a kurultai at Kaiping, which elects him as ruler of the Mongol Empire; so ends the centralized Mongol Empire",13rd century,China,Sui
997,1260,Kublai Khan's envoy Hao Jing proposes that the Song dynasty acknowledge Kublai as Son of Heaven in return for autonomy and gets jailed,13rd century,China,Sui
998,1261,Kublai Khan sends funds to Li Tan of Shandong to make war on the Song dynasty,13rd century,China,Sui
999,1262,"Mongol-allied warlord of Shandong, Li Tan, defects to the Song dynasty",13rd century,China,Sui
1000,1262,Kublai Khan's Chinese generals Shi Tianze and Shi Chu crush Li Tan's forces and capture him; Li Tan is trampled to death by horses,13rd century,China,Sui
1001,1263,Massive fires erupt in Lin'an,13rd century,China,Sui
1002,1264,Emperor Lizong of Song dies and his nephew Zhao Qi succeeds him as Emperor Duzong of Song,13rd century,China,Sui
1003,1264,Massive fires erupt in Lin'an,13rd century,China,Sui
1004,1264,A display of miniature rockets frightens the Song empress.,13rd century,China,Sui
1005,1264,The value of huizi collapses,13rd century,China,Sui
1006,1265,Song dynasty and Mongol forces clash in Sichuan,13rd century,China,Sui
1007,1268,Battle of Xiangyang: Aju of the Mongols lays siege to Xiangyang,13rd century,China,Sui
1008,1271,Kublai Khan declares himself emperor of the Yuan dynasty,13rd century,China,Sui
1009,1271,Chinese people start visiting Taiwan,13rd century,China,Sui
1010,1272,Battle of Xiangyang: Riverine relief forces use fire lances to repel boarders and break the Mongol blockade of Xiangyang,13rd century,China,Sui
1011,1273,Battle of Xiangyang: Lü Wenhuan surrenders Xiangyang to Yuan,13rd century,China,Sui
1012,1274,Emperor Duzong of Song dies and his son Zhao Xian succeeds him as Emperor Gong of Song; Xie Daoqing becomes regent,13rd century,China,Sui
1013,1275,Bayan's forces cross the Yangtze at Hankou,13rd century,China,Sui
1014,1275,Bayan's forces meet Jia Sidao in battle at Dingjiao Prefecture and annihilate his force using artillery equipment,13rd century,China,Sui
1015,1275,Mongols conquer the Hanshui region,13rd century,China,Sui
1016,1276,Mongol army annihilates a Song army near modern Guichi District,13rd century,China,Sui
1017,1276,Lin'an surrenders to the Mongols and Emperor Gong of Song is eventually moved to Dunhuang where he raises a family and becomes a monk,13rd century,China,Sui
1018,1276,"Yuan general of Uyghur descent, Arigh Kaya, conquers Hunan and Guangxi",13rd century,China,Sui
1019,1276,Yuan commander Sodu occupies Fuzhou,13rd century,China,Sui
1020,1276,"Song loyalists enthrone Zhao Shi, brother of Emperor Gong of Song, as Emperor Duanzong of Song",13rd century,China,Sui
1021,1276,Reusable fire lance barrels made of metal are employed by the Song army.,13rd century,China,Sui
1022,1276,Fire lances are used by Song cavalry in combating Mongols.,13rd century,China,Sui
1023,1277,Muslim superintendent of Quanzhou Pu Shougeng defects to Yuan,13rd century,China,Sui
1024,1277,"A suicide bombing occurs in China when Song garrisons set off a large bomb, killing themselves.[232]",13rd century,China,Sui
1025,1278,Yuan commander Sodu occupies Guangzhou,13rd century,China,Sui
1026,1278,Emperor Duanzong of Song dies in Guangnan and is succeeded by his brother Zhao Bing,13rd century,China,Sui
1027,1279,Battle of Yamen: Mongol fleet annihilates the Song fleet and Zhao Bing dies at sea; so ends the Song dynasty,13rd century,China,Sui
1028,1328,Zhu Yuanzhang is born to a family of poor tenant farmers in Anhui,14th century,China,Sui
1029,1332,Xu Da is born in Fengyang County.,14th century,China,Sui
1030,1344,"An epidemic, locusts, and drought kills Zhu Yuanzhang's family, leaving only himself, his sister-in-law and her young son as the sole survivors",14th century,China,Sui
1031,1344,Zhu Yuanzhang enters a local Buddhist monastery as a novice to do menial work; eventually he's sent out to beg for food - it's speculated that he ends up joining the army,14th century,China,Sui
1032,1347,Zhu Yuanzhang returns to the Buddhist monastery,14th century,China,Sui
1033,1352,Red Turban Rebellion: Zhu Yuanzhang becomes a rebel under Guo Zixing's command in Haozhou,14th century,China,Sui
1034,1353,Red Turban Rebellion: Zhu Yuanzhang receives an independent command from Guo Zixing and captures Chuzhou,14th century,China,Sui
1035,1355,Red Turban Rebellion: Zhu Yuanzhang crosses the Changjiang,14th century,China,Sui
1036,1355,"Red Turban Rebellion: Guo Zixing dies and his eldest son succeeds him, but he also dies, making Zhu Yuanzhang leader of the rebels",14th century,China,Sui
1037,1356,Red Turban Rebellion: Zhu Yuanzhang takes Nanjing,14th century,China,Sui
1038,1357,Red Turban Rebellion: Zhang Shide is captured by Zhu Yuanzhang and starves to death,14th century,China,Sui
1039,1358,Red Turban Rebellion: Defending garrisons fire cannons en masse at the siege of Shaoxing and defeat Zhu Yuanzhang's forces,14th century,China,Sui
1040,1360,Red Turban Rebellion: Chen Youliang murders Xu Shouhui and proclaims the Great Han at Wuchang before attacking Zhu Yuanzhang at Nanjing only to be repulsed,14th century,China,Sui
1041,1363,Battle of Lake Poyang: Chen Youliang's fleet is demolished by Zhu Yuanzhang's forces and dies,14th century,China,Sui
1042,1363,Red Turban Rebellion: Zhu Yuanzhang saves Han Liner and moves the Song court west of Nanjing where it remains militarily insignificant,14th century,China,Sui
1043,1365,Red Turban Rebellion: Zhu Yuanzhang attacks Zhang Shicheng,14th century,China,Sui
1044,1365,"Zhu Yuanzhang sets up a school with a teaching staff of ""Erudites"" (boshi)",14th century,China,Sui
1045,1367,Red Turban Rebellion: Zhu Yuanzhang's army under Zhu Liangzi takes Taizhou,14th century,China,Sui
1046,1367,"Red Turban Rebellion: Zhu Yuanzhang takes Suzhou and Zhang Shicheng hangs himself; 2,400 large and small cannons are deployed by the Ming army at the siege of Suzhou.[9]",14th century,China,Sui
1047,1367,Red Turban Rebellion: Zhu Liangzi takes Wenzhou,14th century,China,Sui
1048,1367,"Red Turban Rebellion: Zhu Yuanzhang issues orders for Xu Da and Chang Yuchun to head north with 250,000 soldiers and Hu Mei, Tang He, and Liao Yongzhong to attack Fujian and Guangdong",14th century,China,Sui
1049,1367,Red Turban Rebellion: Fang Guozhen surrenders to Zhu Yuanzhang,14th century,China,Sui
1050,1367,Red Turban Rebellion: Hu Mei's forces take Shaowu,14th century,China,Sui
1051,1367,Zhu Yuanzhang reestablishes the imperial examinations,14th century,China,Sui
1052,1368,Red Turban Rebellion: Hu Mei captures Fuzhou,14th century,China,Sui
1053,1368,Zhu Yuanzhang proclaims himself the Hongwu Emperor of the Ming dynasty (note that Ming and Qing use the era name rather than temple name),14th century,China,Sui
1054,1368,"Ming forces conquer Fujian and capture Chen Youding, who is executed",14th century,China,Sui
1055,1368,Ming forces conquer Shandong,14th century,China,Sui
1056,1368,Ming forces capture Kaifeng,14th century,China,Sui
1057,1368,Ming forces reach Guangzhou and receive He Zhen's surrender,14th century,China,Sui
1058,1368,Ming forces defeat Köke Temür and capture Luoyang,14th century,China,Sui
1059,1368,Ming forces capture Wuzhou,14th century,China,Sui
1060,1368,Ming forces conquer Guangxi,14th century,China,Sui
1061,1368,Ming forces capture Daidu (renamed Beiping) and the Yuan court flees to Inner Mongolia; so ends the Yuan dynasty,14th century,China,Sui
1062,1368,Ming forces capture Baoding,14th century,China,Sui
1063,1368,Ming forces capture Zhaozhou,14th century,China,Sui
1064,1368,Ming forces capture Pingding,14th century,China,Sui
1065,1368,Crouching-tiger cannons are employed by the Ming army.,14th century,China,Sui
1066,1368,The Guozijian is created,14th century,China,Sui
1067,1369,Ming forces capture Taiyuan,14th century,China,Sui
1068,1369,Ming forces capture Datong,14th century,China,Sui
1069,1369,Song Lian and Wang Yi start compiling the History of Yuan,14th century,China,Sui
1070,1369,Ming forces conquer Shanxi and Li Siqi flees to Lintao,14th century,China,Sui
1071,1369,Li Siqi surrenders to Ming forces,14th century,China,Sui
1072,1369,Ming forces capture Lanzhou,14th century,China,Sui
1073,1369,Ming forces capture Pingliang,14th century,China,Sui
1074,1369,Ming forces capture Shangdu,14th century,China,Sui
1075,1369,Ming forces capture Qingyang,14th century,China,Sui
1076,1369,Construction of the Central Capital (Fengyang) begins,14th century,China,Sui
1077,1370,Köke Temür lays siege to Lanzhou but fails to take it,14th century,China,Sui
1078,1370,Ming forces defeat Köke Temür at Gongchang but fail to capture him,14th century,China,Sui
1079,1370,The Hongwu Emperor authorizes the first Ming imperial examination,14th century,China,Sui
1080,1370,Ming forces capture Yingchang,14th century,China,Sui
1081,1370,The Hongwu Emperor bans White Lotus and Manichaean sects,14th century,China,Sui
1082,1370,Gunpowder is corned to strengthen the explosive power of land mines in the Ming dynasty.,14th century,China,Sui
1083,1370,Cannon projectiles transition from stone to iron ammunition in the Ming dynasty.,14th century,China,Sui
1084,1371,Ming forces capture Wenzhou,14th century,China,Sui
1085,1371,Ming forces capture Hanzhou,14th century,China,Sui
1086,1371,Ming Sheng surrenders Sichuan to the Ming dynasty,14th century,China,Sui
1087,1371,"Registered students at the Guozijian reach 3,728",14th century,China,Sui
1088,1372,Ming forces defeat Köke Temür at the Tuul River,14th century,China,Sui
1089,1372,Ming forces are routed at Karakorum,14th century,China,Sui
1090,1372,Ming forces capture Yongchang and conquer Juyan,14th century,China,Sui
1091,1372,"Registered students at the Guozijian reach 10,000",14th century,China,Sui
1092,1372,Cannons made specifically for naval usage appear in the Ming dynasty.,14th century,China,Sui
1093,1373,The Hongwu Emperor suspends imperial examinations,14th century,China,Sui
1094,1373,Ming forces defeat Köke Temür at Huairou,14th century,China,Sui
1095,1373,The Hongwu Emperor limits tribute missions from Goryeo to once every three years,14th century,China,Sui
1096,1373,"Ming officials draw up the first ""house law"" in Chinese history",14th century,China,Sui
1097,1375,Ming starts issuing a new note called the Da Ming Baochao,14th century,China,Sui
1098,1375,The Hongwu Emperor halts constructions at Fengyang due to expenses and waste; construction plans shift to Nanjing,14th century,China,Sui
1099,1376,Ming forces defeat Bayan Temür,14th century,China,Sui
1100,1376,Ming forces defeat Bayan Temür again,14th century,China,Sui
1101,1376,The Hongwu Emperor announces that he will accept straightforward criticism of his rule from officials,14th century,China,Sui
1102,1376,Ye Boju is starved to death in prison for criticizing the emperor,14th century,China,Sui
1103,1376,"The Hongwu Emperor executes all officials connected to the ""Case of the Pre-stamped Documents""",14th century,China,Sui
1104,1377,Ming forces invade Qinghai,14th century,China,Sui
1105,1377,"Palace construction in Nanjing is completed and the city is designated ""Jingshi"" (Capital)",14th century,China,Sui
1106,1378,Wu Mian rebellion: The Kam people rebel,14th century,China,Sui
1107,1379,Ming forces defeat Tibetans in Gansu,14th century,China,Sui
1108,1379,Champa sends tribute to Nanjing,14th century,China,Sui
1109,1380,"Hu Weiyong plots to assassinate the Hongwu Emperor but gets arrested; the ensuing investigations lead to the execution of roughly 15,000 people",14th century,China,Sui
1110,1380,"""Wasp nest"" rocket launchers are manufactured for the Ming army.",14th century,China,Sui
1111,1381,Ming conquest of Yunnan: Ming forces take Qujing,14th century,China,Sui
1112,1382,Ming conquest of Yunnan: Ming forces conquer Yunnan,14th century,China,Sui
1113,1384,The Hongwu Emperor relocates government agencies from the palace to outside the city walls of Nanjing,14th century,China,Sui
1114,1385,Wu Mian rebellion: The Kam rebellion is defeated,14th century,China,Sui
1115,1385,The imperial examinations are reestablished,14th century,China,Sui
1116,1385,Guo Huan is executed for embezzling 7 million piculs of grain,14th century,China,Sui
1117,1386,Ming–Mong Mao War: Si Lunfa of Mong Mao rebels,14th century,China,Sui
1118,1387,Ming campaign against the Uriankhai: Naghachu surrenders to Ming forces,14th century,China,Sui
1119,1388,Battle of Buir Lake: Ming forces defeat Uskhal Khan Tögüs Temür,14th century,China,Sui
1120,1388,Ming–Mong Mao War: Mong Mao is defeated by the Ming artillery corps utilizing volley fire,14th century,China,Sui
1121,1389,Ming forces defeat Yi rebels in Yuezhou,14th century,China,Sui
1122,1389,Ming–Mong Mao War: Si Lunfa surrenders to the Ming dynasty,14th century,China,Sui
1123,1390,Nayir Bukha and Yaozhu surrender to Ming forces,14th century,China,Sui
1124,1391,Ajashiri rebels and is suppressed,14th century,China,Sui
1125,1391,Ming forces briefly occupy Hami and retreat,14th century,China,Sui
1126,1392,I Seonggye ousts Wang Yo and becomes Taejo of Joseon; so ends Goguryeo,14th century,China,Sui
1127,1393,Ming forces sack Hami,14th century,China,Sui
1128,1394,Tributary relations between Ming and Joseon are normalized,14th century,China,Sui
1129,1396,Ming forces defeat Bolin Temür,14th century,China,Sui
1130,1397,Lin Kuan rebellion: A Kam rebellion is defeated,14th century,China,Sui
1131,1397,Ming–Mong Mao Intervention: Si Lunfa is deposed and requests Ming aid in restoring him to power,14th century,China,Sui
1132,1398,Ming–Mong Mao Intervention: Si Lunfa is restored to power,14th century,China,Sui
1133,1398,The Hongwu Emperor becomes ill,14th century,China,Sui
1134,1398,The Hongwu Emperor dies,14th century,China,Sui
